[4####]
9 8 0   145.0  145.0
 2412999.4200007.200E-042 5.783E-10.05910.066 3801.35300.670.000000                                                el  67      135540314210 9 8 0   810.0  810.0
 2412999.4200005.250E-042 3.226E-08.06690.080 4583.39700.760.000000                                                el  39      136650314210 9 8 0   474.0  474.0
 2312999.4200007.160E-049 1.739E-07.06120.069 8609.88700.690.000000                                                el  60      135540314210 9 8 0   121.0  121.0
 2312999.4200004.090E-051 8.506E-05.06600.07510896.72000.740.000000                                                el  47      135550314210 9 8 0    95.0   95.0
 2412999.4200005.390E-059 1.752E-04.06680.08014405.34200.750.000000                                                el  40      136650314210 9 8 0   486.0  486.0
 2312999.4200006.940E-041 1.595E-09.06590.074 3815.98000.730.000000                                                el  48      135550314210 9 8 0    97.0   97.0
 2412999.4210002.590E-050 1.575E-06.06040.068 9412.73400.690.000000                                                el  62      135540314210 9 8 0   750.0  750.0
 2112999.4210001.120E-048 3.324E-08.05830.065 9505.05900.660.000000                                                el  72      135540314210 9 8 0   145.0  145.0
 2112999.4210006.270E-046 8.425E-07.06500.072 8801.94600.720.000000                                                el  52      135540314210 9 8 0   105.0  105.0
 2112999.4210001.870E-059 5.002E-05.06220.06916071.38500.700.000000                                                el  58      135540314210 9 8 0   117.0  117.0
 2212999.4210001.130E-043 5.857E-08.06010.068 6298.94200.680.000000                                                el  63      135540314210 9 8 0   254.0  254.0
 2212999.4210009.200E-045 1.779E-05.06620.075 7926.82400.740.000000                                                el  46      135550314210 9 8 0   186.0  186.0
 2212999.4210009.330E-049 4.221E-07.05950.067 9119.54100.680.000000                                                el  65      135540314210 9 8 0   262.0  262.0
 2412999.4210003.090E-041 5.281E-10.06930.090 3298.24500.740.000000                                                el  27      136650314210 9 8 0   330.0  330.0
 2412999.4210004.390E-069 4.156E-03.06420.07119897.03900.710.000000                                                el  54      135540314210 9 8 0   654.0  654.0
 2312999.4210006.570E-053 1.354E-05.06500.07211389.17000.720.000000                                                el  52      135540314210 9 8 0   105.0  105.0
 2312999.4210006.130E-069 8.311E-04.05780.06519907.10800.650.000000                                                el  76      135540314210 9 8 0   153.0  153.0
 2112999.4220002.680E-049 1.415E-07.05950.06710076.43100.680.000000                                                el  65      135540314210 9 8 0   131.0  131.0
 2112999.4220002.800E-040 4.983E-08.07020.093 5387.02400.720.000000                                                el  24      136650314210 9 8 0    49.0   49.0
 2312999.4220005.330E-046 9.029E-06.06620.075 8007.94600.740.000000                                                el  46      135550314210 9 8 0    93.0   93.0
 2312999.4220003.170E-069 4.367E-03.06500.07220306.65000.720.000000                                                el  52      135540314210 9 8 0   105.0  105.0
 2312999.4220005.270E-043 9.841E-10.06220.069 4759.30300.700.000000                                                el  58      135540314210 9 8 0   117.0  117.0
 2312999.4230001.780E-072 9.654E-02.06700.08122419.56600.760.000000                                                el  38      136650314210 9 8 0    77.0   77.0
 2412999.4230001.100E-046 1.717E-06.06770.084 7589.57700.750.000000                                                el  34      136650314210 9 8 0   414.0  414.0
 2112999.4230001.410E-060 1.991E-05.05610.06316510.10400.650.000000                                                el  93      134440314210 9 8 0   187.0  187.0
 2212999.4230001.920E-067 1.585E-05.06010.06818710.93400.680.000000                                                el  63      135540314210 9 8 0   254.0  254.0
 2212999.4230003.600E-072 7.234E-04.06690.08021638.52300.760.000000                                                el  39      136650314210 9 8 0   158.0  158.0
 2112999.4230005.800E-076 1.245E-02.06470.07125008.04300.720.000000                                                el  53      135540314210 9 8 0   107.0  107.0
 2112999.4230001.910E-043 1.233E-08.06170.069 6782.01200.700.000000                                                el  59      135540314210 9 8 0   119.0  119.0
 2212999.4230009.290E-075 6.113E-04.06560.07322880.51400.730.000000                                                el  50      135550314210 9 8 0   202.0  202.0
 2312999.4230001.350E-050 4.658E-06.06320.07010089.15200.710.000000                                                el  56      135540314210 9 8 0   113.0  113.0
 2312999.4230004.590E-039 8.199E-11.06650.078 2315.90800.750.000000                                                el  42      136550314210 9 8 0    85.0   85.0
 2312999.4230001.610E-073 5.938E-02.06470.07122881.64200.720.000000                                                el  53      135540314210 9 8 0   107.0  107.0
